 ,X,Y,Slice
1,25,606,1
2,29,660,1
3,52,310,1
4,138,576,1
5,393,458,1
6,450,428,1
7,388,261,1
8,334,286,1
9,756,549,1
10,845,792,1
11,668,760,1
12,461,782,1
13,354,826,1
14,412,960,1
15,42,1014,1
16,18,620,4
17,20,664,4
18,20,468,4
19,9,345,4
20,57,314,4
21,453,430,4
22,392,460,4
23,460,780,4
24,357,826,4
25,406,954,4
26,385,880,4
27,755,561,4
28,861,808,4
29,673,771,4
30,668,798,4
31,729,836,4
32,685,925,4
33,973,741,4
34,21,628,15
35,28,474,15
36,45,329,15
37,8,349,15
38,9,318,15
39,393,456,15
40,437,437,15
41,435,403,15
42,764,569,15
43,847,524,15
44,852,808,15
45,873,733,15
46,964,743,15
47,397,944,15
48,389,874,15
49,357,826,15
50,462,784,15
51,673,788,15
52,365,619,15
53,323,650,15
54,308,599,15
55,208,914,15
56,164,817,15
57,214,684,15
58,174,589,15
59,141,561,15
60,22,615,7
61,351,831,7
62,464,785,7
63,397,957,7
64,386,877,7
65,848,799,7
66,675,771,7
67,986,740,7
68,756,564,7
69,845,523,7
70,455,435,7
71,393,464,7
72,378,612,7
73,253,572,7
74,55,320,7
75,12,346,7
76,349,827,2
77,466,782,2
78,379,603,2
79,391,453,2
80,455,432,2
81,385,462,2
82,27,610,2
83,17,667,2
84,21,558,2
85,9,343,2
86,45,330,2
87,403,953,2
88,853,802,2
89,991,743,2
90,756,565,2
91,671,758,2
92,663,800,2
93,623,285,2
94,42,329,21
95,15,476,21
96,8,629,21
97,109,460,21
98,407,457,21
99,435,438,21
100,430,408,21
101,637,264,21
102,378,283,21
103,532,429,21
104,700,422,21
105,756,567,21
106,715,528,21
107,830,532,21
108,791,529,21
109,949,735,21
110,845,701,21
111,857,790,21
112,890,750,21
113,466,791,21
114,680,789,21
115,359,866,21
116,433,854,21
117,362,821,21
118,403,941,21
119,356,626,21
120,318,649,21
121,615,964,21
122,635,912,21
123,709,209,21
124,749,191,21
125,756,150,21
126,724,164,21
127,27,332,29
128,27,477,29
129,5,653,29
130,316,643,29
131,214,686,29
132,369,831,29
133,455,778,29
134,405,934,29
135,377,877,29
136,450,847,29
137,617,950,29
138,855,790,29
139,948,734,29
140,832,686,29
141,951,617,29
142,835,551,29
143,767,574,29
144,789,531,29
145,408,454,29
146,442,442,29
147,425,402,29
148,345,293,29
149,352,263,29
150,628,260,29
151,694,230,29
152,733,194,29
153,259,585,29
154,106,469,29
155,681,790,29
156,705,813,29
157,487,201,29
158,705,424,29
159,13,647,36
160,16,336,36
161,422,444,36
162,423,396,36
163,359,295,36
164,350,263,36
165,633,260,36
166,689,238,36
167,734,197,36
168,822,559,36
169,840,507,36
170,781,535,36
171,770,576,36
172,920,732,36
173,818,681,36
174,861,772,36
175,688,798,36
176,612,959,36
177,635,920,36
178,604,934,36
179,398,929,36
180,455,850,36
181,458,786,36
182,497,809,36
183,353,827,36
184,314,646,36
185,260,598,36
186,886,309,36
187,976,399,36
188,967,625,36
189,380,902,50
190,411,826,50
191,450,805,50
192,458,734,50
193,297,653,50
194,263,613,50
195,10,346,50
196,35,484,50
197,416,447,50
198,415,398,50
199,351,303,50
200,349,254,50
201,630,265,50
202,668,255,50
203,712,208,50
204,799,572,50
205,819,519,50
206,724,566,50
207,704,422,50
208,784,668,50
209,894,726,50
210,854,751,50
211,849,835,50
212,677,802,50
213,634,917,50
214,618,947,50
215,32,659,50
216,53,668,62
217,49,492,62
218,275,660,62
219,15,349,62
220,349,308,62
221,359,274,62
222,409,374,62
223,319,420,62
224,408,450,62
225,630,267,62
226,473,235,62
227,607,303,62
228,664,265,62
229,706,210,62
230,746,667,62
231,817,564,62
232,745,549,62
233,806,533,62
234,858,726,62
235,855,857,62
236,627,939,62
237,698,822,62
238,420,839,62
239,508,833,62
240,464,731,62
241,446,764,62
242,808,970,62
243,982,394,62
244,845,322,62
245,711,420,62
246,165,864,62
247,224,681,62
248,179,291,62
249,354,322,74
250,288,216,74
251,5,354,74
252,57,499,74
253,154,845,74
254,273,665,74
255,225,686,74
256,409,842,74
257,295,933,74
258,514,856,74
259,621,933,74
260,587,920,74
261,681,1001,74
262,648,1011,74
263,706,819,74
264,799,961,74
265,806,701,74
266,726,634,74
267,785,603,74
268,851,529,74
269,985,628,74
270,964,392,74
271,862,328,74
272,717,432,74
273,643,290,74
274,628,265,74
275,671,221,74
276,466,239,74
277,416,445,74
278,366,904,85
279,416,828,85
280,633,920,85
281,676,996,85
282,557,904,85
283,531,862,85
284,728,832,85
285,791,680,85
286,842,713,85
287,780,617,85
288,710,640,85
289,651,670,85
290,849,537,85
291,257,678,85
292,414,443,85
293,335,324,85
294,299,229,85
295,392,349,85
296,355,396,85
297,663,238,85
298,623,267,85
299,639,300,85
300,859,333,85
301,941,385,85
302,710,435,85
303,462,243,85
304,323,648,85
305,65,506,85
306,67,347,85
307,38,351,85
308,171,293,85
309,1001,631,85
310,352,337,95
311,288,419,95
312,415,433,95
313,640,258,95
314,73,523,95
315,245,696,95
316,460,812,95
317,348,922,95
318,628,955,95
319,536,873,95
320,516,813,95
321,727,839,95
322,793,948,95
323,780,667,95
324,698,641,95
325,675,615,95
326,765,665,110
327,720,850,110
328,456,812,110
329,606,940,110
330,377,390,110
331,628,274,110
332,588,349,110
333,575,312,110
334,625,319,110
335,873,357,110
336,921,384,110
337,708,435,110
338,996,657,110
339,530,807,110
340,535,853,110
341,215,716,110
342,273,921,110
343,680,638,110
344,651,606,110
345,688,666,110
346,320,256,110
347,500,123,110
348,174,744,130
349,52,574,130
350,377,411,130
351,320,312,130
352,445,258,130
353,503,132,130
354,616,287,130
355,552,298,130
356,726,652,130
357,561,891,130
358,462,818,130
359,738,858,130
360,282,758,130
361,779,931,130
362,988,670,130
363,879,375,130
364,725,440,130
365,708,356,130
366,536,450,130
367,485,462,130
368,508,425,130
369,503,450,130
370,546,404,130
371,536,820,130
372,307,427,130
373,59,605,150
374,151,740,150
375,90,780,150
376,459,804,150
377,530,865,150
378,685,636,150
379,551,824,150
380,756,888,150
381,419,430,150
382,564,217,150
383,500,136,150
384,498,108,150
385,590,310,150
386,684,350,150
387,730,444,150
388,878,377,150
389,946,195,150
390,991,701,150
391,436,255,150
392,114,247,150
393,141,284,150
394,826,973,150
395,62,643,170
396,77,693,170
397,77,765,170
398,39,801,170
399,431,448,170
400,561,345,170
401,694,305,170
402,573,234,170
403,553,153,170
404,512,166,170
405,741,450,170
406,508,509,170
407,497,575,170
408,510,630,170
409,551,618,170
410,587,617,170
411,668,634,170
412,470,790,170
413,549,896,170
414,544,984,170
415,514,787,170
416,543,813,170
417,560,836,170
418,600,901,170
419,781,922,170
420,871,386,170
421,924,422,170
422,929,219,170
423,433,260,170
424,111,276,170
425,533,395,181
426,565,315,181
427,514,158,181
428,559,123,181
429,713,298,181
430,626,611,181
431,703,663,181
432,751,445,181
433,700,492,181
434,453,450,181
435,857,387,181
436,471,768,181
437,555,910,181
438,526,799,181
439,594,880,181
440,61,667,181
441,39,786,181
442,88,777,181
443,650,911,181
444,787,919,181
445,968,926,181
446,970,806,181
447,785,771,181
448,502,552,181
449,520,598,181
450,574,652,181
451,429,259,181
452,111,273,181
453,908,673,181
454,847,689,181
455,279,661,200
456,435,721,200
457,478,809,200
458,599,628,200
459,480,480,200
460,526,412,200
461,540,218,200
462,524,750,200
463,526,689,200
464,798,921,200
465,607,954,200
466,610,906,200
467,741,693,200
468,935,912,200
469,894,644,200
470,764,450,200
471,853,390,200
472,690,300,200
473,584,47,200
474,620,57,200
475,248,747,200
476,228,669,200
477,420,265,200
478,97,278,200
479,247,749,220
480,268,714,220
481,429,717,220
482,358,771,220
483,523,758,220
484,491,695,220
485,558,613,220
486,517,528,220
487,466,490,220
488,509,412,220
489,540,245,220
490,559,153,220
491,592,83,220
492,510,511,220
493,779,417,220
494,832,393,220
495,516,469,220
496,899,228,220
497,875,226,220
498,870,252,220
499,415,259,220
500,85,278,220
501,400,716,240
502,492,500,240
503,519,519,240
504,527,620,240
505,460,546,240
506,490,443,240
507,796,395,240
508,535,227,240
509,580,139,240
510,578,66,240
511,398,271,240
512,382,237,240
513,345,196,240
514,336,898,240
515,352,961,240
516,833,940,240
517,654,986,240
518,873,242,240
519,850,263,240
520,312,877,260
521,368,774,260
522,317,729,260
523,435,684,260
524,477,746,260
525,513,627,260
526,475,551,260
527,460,498,260
528,510,532,260
529,396,267,260
530,532,236,260
531,790,384,260
532,578,41,260
533,854,258,260
534,832,278,260
535,790,164,260
536,820,955,260
537,45,286,260
538,53,288,260
539,951,310,260
540,910,540,260
541,490,774,280
542,435,678,280
543,397,727,280
544,298,721,280
545,379,834,280
546,505,646,280
547,467,599,280
548,482,543,280
549,410,510,280
550,417,462,280
551,357,464,280
552,396,278,280
553,790,377,280
554,827,271,280
555,786,228,280
556,799,283,280
557,777,945,280
558,30,296,280
559,176,653,300
560,237,713,300
561,398,493,300
562,408,280,300
563,18,295,300
564,786,373,300
565,771,332,300
566,816,289,300
567,775,297,300
568,630,532,300
569,479,771,300
570,496,812,300
571,552,725,300
572,523,723,300
573,534,771,300
574,530,809,300
575,766,969,300
576,446,685,290
577,482,620,290
578,423,684,300
579,460,603,300
580,512,672,300
581,391,652,320
582,405,649,320
583,434,610,320
584,519,678,320
585,486,825,320
586,533,778,320
587,514,758,320
588,530,727,320
589,545,708,320
590,556,674,320
591,554,660,320
592,553,653,320
593,573,613,320
594,615,544,320
595,190,729,320
596,242,712,320
597,408,289,320
598,784,364,320
599,750,329,320
600,784,291,320
601,798,315,320
602,753,966,320
603,781,977,320
