 ,X,Y,Slice
2,775,765,103
3,777,747,116
4,772,718,136
5,771,710,146
6,771,699,160
7,840,657,160
8,815,659,144
9,823,646,126
10,836,629,108
11,842,603,93
12,782,678,176
13,764,689,188
14,752,685,203
15,724,684,218
16,717,684,235
17,713,684,253
18,717,679,266
19,718,679,283
20,718,678,301
21,748,765,282
22,745,763,289
23,508,653,56
24,508,643,76
25,511,630,94
26,512,626,108
27,515,625,127
28,511,619,143
29,554,587,163
30,577,578,182
31,588,593,202
32,621,596,231
33,639,614,256
34,646,623,273
35,657,626,291
36,554,562,186
37,525,523,152
38,487,451,133
39,476,441,113
40,411,420,104
41,391,404,85
42,472,426,85
43,378,405,70
44,508,416,70
45,362,426,56
46,527,404,56
47,350,435,43
48,536,404,43
49,740,668,366
50,737,656,394
51,728,667,413
52,628,738,395
53,740,682,432
54,822,681,462
55,725,669,343
56,742,663,386
57,743,662,412
58,689,695,403
59,767,673,432
60,871,719,465
61,932,824,476
62,783,578,476
63,776,181,476
64,799,399,472
65,801,587,477
66,817,352,496
67,786,597,496
68,809,404,462
69,792,143,461
70,835,342,443
71,794,130,443
72,867,315,424
73,869,302,400
74,895,296,378
75,899,295,354
76,898,295,343
77,916,292,335
78,936,286,319
79,926,273,303
80,934,265,279
81,940,261,266
82,910,272,250
83,959,247,249
84,917,272,249
85,902,268,228
86,893,265,211
87,887,265,194
88,890,257,190
89,922,274,284
90,873,318,335
91,870,313,413
92,815,199,439
93,779,111,439
94,814,162,431
95,746,105,431
96,752,102,417
97,818,36,421
98,817,22,410
99,786,35,516
100,821,489,516
101,887,742,516
102,615,481,521
103,818,308,535
104,907,804,535
105,700,560,535
106,461,308,535
107,377,132,535
108,304,224,535
109,440,307,511
110,221,194,511
111,446,346,494
112,226,190,494
113,416,336,468
114,399,336,454
115,131,120,454
116,164,176,437
117,117,90,437
118,425,326,414
119,425,314,395
120,43,45,409
121,104,101,440
122,159,138,459
123,162,144,493
124,252,213,512
125,334,241,530
126,368,126,530
127,366,69,511
128,356,45,489
129,362,15,468
130,363,14,454
131,358,6,440
132,361,6,425
133,366,4,410
134,360,5,395
135,360,2,383
136,369,83,525
137,433,315,570
138,449,335,540
139,681,540,542
140,899,786,542
141,801,417,554
142,822,309,554
143,372,255,555
144,818,279,570
145,792,516,571
146,825,282,578
147,804,267,595
148,811,273,614
149,798,274,617
150,770,253,659
151,855,234,659
152,856,248,679
153,871,248,690
154,412,475,700
155,424,471,681
156,433,465,658
157,443,464,632
158,447,460,614
159,519,470,617
160,538,465,608
161,564,458,586
162,462,457,585
163,472,446,573
164,482,438,553
165,490,428,533
166,519,409,515
167,585,377,502
168,581,353,516
169,457,221,517
170,428,192,522
171,532,298,522
172,585,372,522
173,529,305,522
174,585,374,525
175,525,300,525
176,425,191,525
177,584,372,548
178,577,375,564
179,575,376,575
180,570,376,585
181,565,378,597
182,380,163,553
183,389,228,575
184,836,561,768
185,821,571,744
186,815,579,731
187,801,596,700
188,803,599,669
189,801,627,635
190,802,641,611
191,806,639,605
192,908,786,588
193,809,703,565
194,803,690,556
195,622,479,556
196,399,262,574
197,580,455,574
198,419,937,583
199,410,821,560
200,448,899,560
201,380,793,545
202,366,926,545
203,504,934,545
204,501,961,530
205,353,765,530
206,454,904,511
207,328,724,511
208,395,813,489
209,317,719,489
210,296,670,489
211,232,591,469
212,355,646,488
213,415,561,474
214,484,460,451
215,205,540,451
216,523,427,434
217,172,506,434
218,127,496,419
219,551,372,418
220,565,327,398
221,582,323,381
222,581,330,365
223,597,319,349
224,606,310,332
225,616,302,306
226,623,310,294
227,648,295,271
228,659,292,250
229,671,305,228
230,706,325,198
231,196,542,448
232,140,496,426
233,87,453,396
234,47,422,381
235,24,395,368
236,111,405,350
237,113,392,332
238,114,372,313
239,140,359,302
240,191,308,286
241,101,410,286
242,249,575,359
243,243,567,341
1,428,404,46
2,510,494,46
11,505,656,44
15,828,828,43
16,810,757,43
17,756,810,43
18,721,822,43
19,504,673,43
20,526,409,43
21,346,440,43
22,309,345,43
23,336,369,49
24,473,421,49
25,489,658,49
26,806,821,49
27,800,752,49
28,764,756,49
29,721,816,49
30,889,578,49
31,865,582,58
32,825,833,58
33,732,805,58
34,497,656,58
35,452,392,58
36,794,776,68
37,733,805,68
38,816,630,68
39,494,661,68
40,302,340,68
41,445,374,68
42,441,425,79
43,269,298,79
44,474,353,79
45,412,428,89
46,481,305,89
47,704,760,89
48,848,606,89
49,496,660,89
50,556,558,89
51,473,613,89
52,646,654,89
53,890,285,89
54,401,414,105
55,477,458,105
56,481,306,105
57,565,556,105
58,478,650,105
59,757,752,105
60,790,658,105
61,637,674,105
62,884,281,105
63,469,653,121
64,473,653,123
65,484,450,123
66,466,396,123
67,588,557,123
68,626,705,123
69,613,720,134
70,520,613,134
71,477,665,134
72,480,441,134
73,366,394,134
74,489,318,134
75,602,560,135
76,577,550,112
77,608,565,144
78,509,609,144
79,340,402,144
80,536,596,152
81,482,476,152
82,622,574,152
83,592,782,152
84,533,924,152
85,628,564,159
86,592,796,159
87,544,913,159
88,618,845,159
89,641,568,170
90,652,572,195
91,712,594,195
92,644,484,195
93,617,517,195
94,601,545,220
95,264,276,234
96,209,262,234
97,214,136,234
98,230,100,234
99,237,210,234
100,210,200,234
101,242,274,247
102,173,324,247
103,184,298,247
104,214,186,247
105,253,141,247
106,149,341,258
107,230,281,258
108,234,198,258
109,216,233,258
110,236,140,258
111,212,133,258
112,242,592,258
113,237,601,242
114,230,608,222
115,232,614,207
116,222,618,200
117,222,628,185
118,218,637,170
119,245,613,170
120,212,644,159
121,249,613,159
122,198,666,135
123,229,628,135
124,272,596,135
125,229,634,135
126,192,672,124
127,165,706,124
128,221,644,124
129,478,662,114
130,424,418,114
131,238,601,243
132,249,596,256
133,245,593,267
134,992,212,222
135,938,242,222
136,984,220,230
137,929,236,230
138,742,776,252
139,746,792,247
140,720,838,242
141,738,837,234
142,749,849,223
143,652,561,238
144,732,598,238
145,256,274,238
146,209,293,238
147,933,218,238
148,989,210,241
149,734,597,257
150,756,582,257
151,701,574,257
152,800,580,299
153,790,581,299
154,800,629,299
155,689,641,299
156,894,234,300
157,873,285,305
158,916,277,305
159,890,234,305
160,698,665,310
161,561,589,310
162,118,817,311
163,252,582,319
164,302,509,319
165,98,816,332
166,730,709,331
167,680,652,331
168,833,660,332
169,818,585,332
170,857,236,332
171,690,68,332
172,702,64,344
173,849,236,344
174,906,280,344
175,805,569,344
176,680,638,344
177,248,577,349
178,154,501,349
179,90,490,349
180,792,548,349
181,812,582,349
182,841,680,349
183,901,292,349
184,852,245,349
185,693,69,349
186,788,576,358
187,877,682,358
188,922,725,358
189,777,513,358
190,706,69,358
191,893,286,358
192,617,765,355
193,582,793,348
194,626,754,359
195,954,770,364
196,869,690,364
197,844,694,364
198,802,581,364
199,780,568,364
200,776,496,364
201,706,78,364
202,777,36,365
203,768,72,365
204,36,553,365
205,64,545,365
206,196,509,365
207,161,462,365
208,848,705,376
209,668,752,375
210,968,784,375
211,833,588,375
212,777,581,375
213,780,477,375
214,770,365,375
215,838,237,362
216,701,78,362
217,772,362,374
218,817,246,374
219,829,8,374
220,848,701,388
221,776,732,388
222,848,737,388
223,854,613,388
224,801,346,388
225,796,176,388
226,830,68,388
227,760,60,388
228,746,398,388
229,770,561,388
230,706,106,388
231,64,438,388
232,73,548,364
233,252,576,376
234,89,537,376
235,60,417,376
236,152,184,376
237,152,186,389
238,245,570,389
239,80,457,389
240,96,522,389
241,764,677,389
242,252,564,403
243,113,468,403
244,349,324,403
245,840,18,403
246,36,49,403
247,764,678,403
248,521,449,404
249,572,254,404
250,253,561,423
251,262,662,423
252,122,493,423
253,334,750,406
254,334,741,422
255,337,737,433
256,324,689,433
257,417,565,433
258,369,618,433
259,250,569,433
260,805,664,433
261,693,410,433
262,61,58,433
263,28,410,433
264,25,409,446
265,57,73,446
266,677,417,446
267,797,669,446
268,893,617,446
269,862,580,446
270,840,381,446
271,810,256,446
272,814,52,446
273,490,473,446
274,326,736,446
275,349,710,446
276,289,724,446
277,236,565,446
278,628,746,447
279,600,701,447
280,378,705,460
281,298,748,460
282,486,485,460
283,468,568,460
284,353,590,460
285,240,661,460
286,69,94,460
287,641,385,460
288,481,269,460
289,328,144,460
290,284,96,460
291,249,49,460
292,288,94,471
293,261,73,471
294,654,386,471
295,480,266,471
296,426,238,471
297,446,230,471
298,598,238,471
299,573,170,471
300,554,29,471
301,826,49,471
302,822,288,471
303,858,705,471
304,185,482,471
305,941,478,471
306,873,585,471
307,942,869,484
308,868,702,484
309,828,268,484
310,554,50,484
311,577,149,484
312,96,113,484
313,304,154,484
314,733,978,504
315,884,734,504
316,984,542,504
317,984,898,504
318,821,278,504
319,854,9,504
320,546,29,504
321,100,110,504
322,257,614,504
323,461,988,527
324,229,608,527
325,268,621,498
326,236,612,515
327,228,605,528
328,952,876,528
329,797,688,528
330,521,389,528
331,900,776,528
332,229,609,539
333,796,1012,486
334,800,996,501
335,761,976,514
336,788,994,530
337,813,974,544
338,980,897,541
339,869,692,541
340,801,989,541
341,989,937,553
342,816,682,553
343,817,980,553
344,532,393,553
345,406,801,553
346,478,918,553
347,368,920,553
348,446,962,553
349,449,996,553
350,276,166,553
351,245,232,553
352,774,284,553
353,608,181,553
354,869,568,553
355,516,381,563
356,776,280,563
357,864,565,563
358,236,233,563
359,337,838,540
360,396,986,540
361,393,928,540
362,802,986,540
363,848,732,573
364,1001,860,573
365,838,982,573
366,862,560,573
367,858,686,565
368,973,889,565
369,812,981,565
370,401,866,565
371,517,937,565
372,572,880,565
373,832,308,566
374,772,280,566
375,510,378,566
376,816,676,567
377,902,744,567
378,873,728,583
379,973,825,583
380,852,569,583
381,866,740,598
382,956,894,598
383,846,569,598
384,653,493,598
385,493,386,598
386,796,630,608
387,909,802,608
388,868,920,608
389,824,266,609
390,816,273,626
391,760,288,626
392,818,265,637
393,789,282,637
394,806,624,637
395,778,901,637
396,461,504,637
397,440,154,637
398,193,242,637
399,293,373,637
400,514,690,637
401,466,482,647
402,162,257,647
403,446,158,647
404,782,278,647
405,860,249,647
406,797,601,647
407,824,560,647
408,716,889,647
409,765,788,647
410,846,921,602
411,822,901,613
412,793,634,613
413,849,920,621
414,492,712,621
415,684,696,613
416,588,694,613
417,477,712,613
418,610,694,622
419,493,709,622
420,417,510,622
421,836,940,622
422,797,912,622
423,377,504,606
424,418,528,607
425,440,512,629
426,757,904,645
427,806,624,645
428,824,560,645
429,141,618,652
430,740,889,652
431,868,238,659
432,769,257,659
433,813,233,659
434,804,597,659
435,808,556,659
436,734,884,659
437,776,782,659
438,510,672,659
439,470,469,659
440,436,157,659
441,370,125,659
442,458,110,659
443,189,221,659
444,133,269,659
445,120,625,659
446,174,597,659
447,545,760,659
448,685,893,671
449,790,872,671
450,524,657,671
451,469,462,671
452,794,600,671
453,786,556,671
454,428,161,671
455,37,838,671
456,104,636,671
457,181,590,671
458,10,828,684
459,62,777,684
460,84,653,684
461,472,458,684
462,797,601,684
463,776,561,684
464,688,877,684
465,526,652,684
466,784,832,684
467,654,958,702
468,641,864,702
469,789,606,702
470,760,557,702
471,462,456,702
472,38,821,702
473,78,772,702
474,65,773,702
475,24,786,702
476,325,306,689
477,326,333,670
478,308,353,655
479,292,370,638
480,278,392,621
481,254,405,603
482,241,412,588
483,218,426,575
484,216,436,557
485,205,445,545
486,202,448,529
487,192,464,516
488,189,468,503
489,184,477,485
490,172,492,464
491,506,394,587
492,214,236,587
493,274,160,551
494,274,166,550
495,246,177,568
496,236,185,583
497,164,248,583
498,228,192,592
499,186,218,592
500,226,244,592
501,200,242,610
502,205,208,610
503,258,397,611
504,186,605,621
505,140,614,634
506,172,613,634
507,290,377,634
508,200,237,634
509,417,154,634
510,410,156,612
511,402,153,633
512,204,242,633
513,177,608,633
514,729,884,633
515,793,906,633
516,812,634,633
517,749,897,665
518,672,866,665
519,477,462,665
520,798,605,665
521,54,824,665
522,430,157,665
523,766,260,665
524,521,673,665
525,430,460,732
526,45,804,732
527,609,838,732
528,629,949,732
529,794,522,732
530,733,602,732
531,817,580,732
532,420,465,752
533,392,486,752
534,698,590,752
535,824,564,752
536,533,806,752
537,93,781,752
538,60,798,752
539,870,773,763
540,890,812,747
541,716,594,748
542,825,562,749
543,809,492,749
544,549,569,749
545,409,493,773
546,369,462,773
